Id,Target,N1,N2,N3,N4,N5,N6,C1,C2,C3,C4,C5,C6,C7,C8,C9
10037,2210000,2302469.136,6,2.0,4.0,0.0,5.0,1,A,F,B,B,S,K,L,1
10038,2100000,2637037.037,3,1.6,9.0,7.0,0.0,2,M,F,V,B,S,X,W,B
10039,4290000,4194000.0,5,1.8,5.0,7.0,5.0,3,A,F,K,B,S,W,V,W
10040,2279000,2590476.19,11,1.8,6.0,9.0,1.0,2,M,F,V,B,S,S,B,1
10041,6650000,7185714.286,5,2.2,2.0,8.0,3.0,2,A,B,K,D,M,W,D,F
10042,1200000,1485714.286,18,3.0,5.0,9.0,5.0,1,A,F,K,B,S,J,N,1
10043,3186000,3501190.476,9,2.4,0.0,7.0,3.0,2,A,F,K,BG,S,4,T,1
10044,2203000,2412359.551,3,1.4,4.0,8.0,5.0,2,M,F,V,B,S,Z,9,4
10045,4950000,4989887.64,8,3.6,2.0,3.0,5.0,2,A,A,K,B,V,W,V,G
10046,3933000,4254761.905,10,3.0,6.0,7.0,4.0,2,A,B,K,B,S,J,T,H
10047,3208000,3344047.619,3,1.8,1.0,6.0,3.0,2,A,F,B,BG,U,K,L,1
10048,5298000,5970000.0,7,2.0,7.0,2.0,0.0,3,A,A,K,B,C,W,A,U
10049,2300000,2362962.963,11,3.0,4.0,1.0,6.0,1,A,F,K,B,S,J,N,1
10050,1037000,1171794.872,14,2.0,1.0,2.0,6.0,1,A,F,V,B,U,1,F,A
10051,2590000,2812820.513,9,2.4,3.0,1.0,1.0,1,A,F,V,BG,S,J,H,M
10052,1860000,2139743.59,2,1.4,4.0,7.0,5.0,1,M,F,V,B,S,X,7,L
10053,1659000,1906410.256,15,2.2,2.0,1.0,6.0,1,A,F,V,B,S,4,T,1
10054,3414000,4065822.785,11,3.0,1.0,6.0,5.0,2,A,B,K,B,S,J,T,H
10055,6376000,7143820.225,2,2.4,5.0,8.0,8.0,2,A,A,V,B,C,K,N,A
10056,3767000,4745348.837,9,3.6,5.0,8.0,3.0,1,A,A,K,B,C,W,V,G
10057,4003000,3575581.395,1,1.6,2.0,6.0,8.0,2,M,F,V,B,S,X,W,E
10058,3300000,5310126.582,10,3.5,5.0,6.0,3.0,2,A,A,K,BG,S,W,D,B
10059,4500000,4429761.905,6,2.4,8.0,4.0,7.0,2,A,A,V,B,C,J,M,Y
10060,2153000,2247058.824,14,2.2,2.0,7.0,1.0,3,A,B,V,B,S,W,B,A
10061,2750000,2795555.556,1,1.6,6.0,5.0,4.0,3,M,F,V,B,S,Z,8,N
10062,6080000,6806593.407,3,2.5,4.0,7.0,9.0,1,A,F,K,B,S,X,W,7
10063,2133000,2596341.463,10,2.0,2.0,9.0,0.0,1,A,A,V,B,S,J,F,1
10064,4500000,4441111.111,15,4.7,2.0,5.0,5.0,3,A,A,K,BG,V,J,T,J
10065,2010000,2451219.512,10,1.6,1.0,4.0,6.0,1,A,F,V,B,S,J,T,N
10066,4000000,4374725.275,2,1.6,6.0,2.0,6.0,3,M,F,V,B,C,S,J,N
10067,6060000,6771578.947,2,2.5,6.0,2.0,4.0,3,A,F,V,B,S,X,W,7
10068,5346000,6224418.605,9,3.5,2.0,1.0,5.0,1,A,A,K,B,C,2,T,2
10069,1224000,1436904.762,9,1.4,8.0,2.0,7.0,2,M,F,V,B,L,K,M,H
10070,1300000,1563414.634,12,2.0,4.0,4.0,7.0,1,A,F,V,B,L,V,F,3
10071,2999000,3353086.42,2,1.4,3.0,4.0,0.0,2,A,F,V,B,L,K,N,A
10072,2300000,2255789.474,3,1.7,8.0,9.0,6.0,3,M,A,B,B,C,X,9,L
10073,1000000,1432051.282,15,1.6,5.0,7.0,3.0,1,M,F,V,BG,L,J,M,Z
10074,2109000,2519047.619,6,1.8,8.0,9.0,2.0,2,A,F,V,B,S,K,L,1
10075,3326000,3777777.778,3,1.6,1.0,1.0,6.0,2,A,F,V,B,S,K,M,H
10076,2306000,3324096.386,10,2.4,8.0,0.0,4.0,1,A,F,K,B,S,6,T,1
10077,2822000,3233333.333,9,2.4,2.0,5.0,5.0,2,A,F,V,B,S,4,T,1
10078,2418000,2891358.025,3,1.6,3.0,3.0,3.0,2,M,F,V,B,L,T,M,B
10079,6060000,6687777.778,8,3.0,6.0,8.0,7.0,3,A,A,K,B,C,5,U,X
10080,2134000,2545238.095,9,1.6,3.0,3.0,7.0,2,A,F,V,B,S,J,T,N
10081,3135000,4064556.962,11,3.0,7.0,5.0,4.0,2,A,B,K,B,S,J,T,H
10082,2009000,2500000.0,10,2.0,1.0,0.0,9.0,1,A,F,K,B,S,W,V,W
10083,3120000,3594871.795,3,1.6,7.0,8.0,8.0,1,A,F,V,B,S,J,M,B
10084,1750000,2071604.938,14,2.0,3.0,5.0,6.0,1,M,F,V,B,M,W,V,W
10085,4057000,4664705.882,3,1.6,9.0,1.0,1.0,2,A,F,V,B,C,S,J,N
10086,2853000,3453846.154,9,2.4,8.0,2.0,7.0,1,A,F,V,BG,S,4,T,1
10087,2692000,2782558.14,11,2.4,7.0,9.0,6.0,1,A,F,K,B,S,J,T,D
10088,5116000,6060256.41,4,2.5,6.0,4.0,8.0,1,A,A,V,B,U,J,F,2
10089,4589000,5184444.444,9,3.0,0.0,9.0,6.0,3,A,A,K,BG,V,J,M,Y
10090,7076000,7431578.947,5,2.7,2.0,2.0,9.0,1,A,F,V,B,C,5,T,D
10091,2640000,3255555.556,9,2.4,4.0,2.0,2.0,1,A,F,V,BG,S,6,T,1
10092,8700000,9570731.707,3,2.0,7.0,8.0,3.0,1,A,A,V,D,P,W,V,1
10093,3136000,3560714.286,11,3.2,1.0,0.0,0.0,2,A,A,K,B,C,W,V,G
10094,1800000,2244047.619,11,2.0,3.0,8.0,1.0,2,A,F,B,B,S,W,V,W
10095,2794000,3291358.025,2,1.6,0.0,8.0,2.0,2,A,F,V,B,L,Z,9,4
10096,1300000,1563095.238,10,1.3,4.0,0.0,2.0,2,M,F,V,B,S,J,M,B
10097,4139000,4728571.429,8,2.0,1.0,0.0,3.0,2,A,A,K,BG,C,J,T,M
10098,1731000,1900000.0,7,1.6,6.0,4.0,0.0,2,A,F,V,B,S,K,N,M
10099,1823000,2053846.154,9,1.6,6.0,1.0,4.0,1,A,F,V,BG,S,J,N,1
10100,2208000,2460000.0,13,2.6,3.0,0.0,8.0,3,A,B,K,B,S,W,D,B
10101,3060000,3308791.209,2,1.6,0.0,3.0,7.0,3,A,F,V,B,S,Z,9,4
10102,1411000,1808641.975,15,3.0,4.0,7.0,4.0,1,A,F,K,B,S,J,N,1
10103,1600000,2019047.619,7,1.6,9.0,2.0,6.0,2,A,F,V,B,U,V,F,3
10104,4385000,5541860.465,6,2.0,3.0,1.0,2.0,1,A,A,K,B,C,U,5,Y
10105,3695000,3928888.889,2,1.6,4.0,1.0,5.0,3,A,F,V,B,L,X,W,8
10106,2085000,2482926.829,10,1.6,6.0,8.0,8.0,1,A,F,V,BG,S,J,T,N
10107,2300000,2624418.605,12,2.5,3.0,4.0,0.0,1,M,A,K,B,C,W,B,X
10108,2000000,2260240.964,16,2.6,1.0,7.0,2.0,1,A,B,V,B,S,W,D,B
10109,2564000,2552380.952,3,1.4,9.0,0.0,6.0,2,A,F,V,B,S,Z,9,4
10110,2448000,2915116.279,13,3.0,5.0,8.0,3.0,1,A,F,K,B,S,J,T,H
10111,1400000,1708433.735,19,2.2,1.0,2.0,9.0,1,A,F,V,B,S,4,T,1
10112,1400000,1464835.165,17,2.8,5.0,6.0,3.0,1,A,F,K,B,S,W,A,U
10113,3420000,3755813.953,7,2.0,8.0,0.0,8.0,1,A,F,K,B,S,W,V,W
10114,6000000,5735714.286,10,4.5,0.0,1.0,8.0,2,A,A,V,BG,V,J,T,E
10115,1900000,2208860.759,9,2.5,1.0,2.0,3.0,2,A,F,V,B,S,1,N,4
10116,3325000,3707142.857,8,2.5,4.0,8.0,4.0,2,A,F,K,BG,S,J,N,1
10117,8100000,9633720.93,6,3.0,5.0,0.0,9.0,1,A,A,K,B,C,X,4,X
10118,1061000,1410465.116,19,2.8,8.0,8.0,3.0,1,A,A,K,B,S,W,A,U
10119,2317000,2732142.857,13,3.0,5.0,1.0,2.0,2,A,F,K,B,S,4,T,1
10120,2812000,3479487.179,9,2.4,9.0,8.0,6.0,1,A,F,V,B,S,4,T,1
10121,2383000,2747619.048,5,1.6,7.0,8.0,5.0,2,A,F,V,B,L,X,W,8
10122,2100000,2541666.667,12,2.4,7.0,1.0,4.0,2,A,F,V,B,S,4,T,1
10123,2270000,2626829.268,8,1.6,2.0,8.0,1.0,1,A,F,V,B,S,J,T,N
10124,6800000,7216666.667,9,4.0,1.0,9.0,7.0,2,A,A,V,B,V,J,T,E
10125,1167000,1541758.242,17,2.8,8.0,0.0,3.0,1,A,A,K,B,S,W,A,U
10126,2800000,3063414.634,10,3.0,0.0,8.0,9.0,1,M,B,B,B,S,W,B,A
10127,2250000,2585057.471,2,1.6,7.0,7.0,2.0,3,A,F,V,B,S,K,L,1
10128,4029000,4328048.78,9,2.0,0.0,3.0,7.0,1,A,A,V,B,C,J,T,M
10129,2453000,2630337.079,4,1.6,7.0,2.0,3.0,2,A,F,V,B,S,Z,9,4
10130,3263000,3562790.698,9,3.5,6.0,7.0,9.0,1,A,F,K,B,S,4,T,1
10131,2002000,2111904.762,10,1.8,3.0,4.0,3.0,2,A,F,V,B,S,1,N,X
10132,2100000,2519047.619,6,1.8,8.0,9.0,2.0,2,A,F,V,B,S,K,L,1
10133,4867000,5234065.934,3,2.4,8.0,4.0,1.0,1,A,A,K,B,C,K,L,1
10134,2128000,2528571.429,6,1.8,0.0,8.0,1.0,2,A,F,V,B,S,X,U,F
10135,4140000,4608695.652,5,2.5,1.0,4.0,6.0,3,A,F,V,B,S,4,T,1
10136,1500000,1841025.641,16,3.0,2.0,0.0,4.0,1,A,F,V,B,S,J,N,1
10137,1714000,2003703.704,11,2.0,0.0,4.0,1.0,1,M,F,V,B,S,W,V,W
10138,3511000,3839285.714,2,1.6,7.0,1.0,7.0,2,A,F,V,BG,S,K,M,H
10139,2165000,2525000.0,13,2.4,1.0,1.0,2.0,2,A,F,V,B,S,4,T,1
10140,2600000,3230769.231,4,1.6,3.0,7.0,8.0,1,A,F,V,B,L,T,M,B
10141,1520000,1681481.481,3,1.4,0.0,0.0,7.0,1,M,F,V,B,S,X,7,L
10142,1303000,1667469.88,15,3.0,9.0,8.0,4.0,1,A,F,K,B,S,J,N,1
10143,3000000,4333333.333,4,2.0,6.0,1.0,1.0,1,A,F,K,G,S,K,M,H
10144,1206000,1791025.641,9,1.4,8.0,3.0,1.0,1,M,F,V,B,L,K,L,1
10145,3281000,3880769.231,1,1.6,6.0,8.0,3.0,1,A,F,V,B,S,Z,9,4
10146,4099000,4575903.614,6,2.4,5.0,2.0,5.0,1,A,F,K,B,S,X,W,7
10147,2200000,2580722.892,14,3.0,3.0,2.0,2.0,1,A,B,K,B,S,W,B,A
10148,2252000,2922368.421,14,3.0,7.0,9.0,6.0,1,A,F,K,B,S,J,T,H
10149,2100000,2076190.476,6,1.6,1.0,0.0,7.0,2,M,F,V,B,L,T,M,B
10150,2009000,2200000.0,4,1.0,1.0,9.0,9.0,1,A,F,V,B,L,X,W,B
10151,2026000,2454320.988,8,2.0,3.0,6.0,6.0,1,A,F,K,G,S,K,M,H
10152,5845000,6698850.575,9,2.7,2.0,3.0,5.0,3,A,A,V,BG,V,J,T,E
10153,1710000,2133333.333,14,2.0,0.0,3.0,3.0,1,A,B,K,B,S,W,D,B
10154,2760000,3174712.644,2,1.6,5.0,8.0,9.0,3,A,F,V,B,S,X,W,8
10155,2281000,2320481.928,5,1.4,6.0,1.0,1.0,1,M,F,V,B,L,S,J,N
10156,1394000,1517073.171,13,1.8,1.0,6.0,8.0,1,M,F,V,B,L,S,J,N
10157,8000000,7472619.048,7,3.6,2.0,1.0,9.0,2,A,A,K,B,C,W,A,U
10158,1010000,1129487.179,19,1.8,3.0,1.0,7.0,1,A,F,V,B,S,W,A,U
10159,3935000,4542857.143,6,2.4,3.0,6.0,6.0,2,A,F,V,B,S,X,W,7
10160,2602000,3401190.476,9,2.4,1.0,2.0,3.0,2,A,F,K,B,S,6,T,1
10161,1505000,1691666.667,4,1.6,8.0,6.0,8.0,2,M,F,V,B,S,X,7,L
10162,2249000,2884615.385,3,1.6,3.0,0.0,9.0,1,A,F,V,B,S,X,W,8
10163,12000000,13769767.44,3,3.0,5.0,1.0,6.0,1,A,A,K,B,V,W,B,A
10164,2619000,2950574.713,4,1.6,9.0,7.0,3.0,1,A,F,V,B,S,K,N,A
10165,1400000,1838271.605,10,2.0,7.0,9.0,4.0,1,M,F,V,B,L,T,M,B
10166,2100000,2510989.011,17,3.0,4.0,0.0,2.0,1,A,A,K,BG,C,J,T,6
10167,3700000,4205952.381,5,2.4,2.0,0.0,6.0,2,A,F,K,B,S,K,M,H
10168,1235000,1310714.286,10,1.4,5.0,9.0,9.0,2,M,F,V,B,L,K,M,H
10169,1400000,1442307.692,15,1.8,9.0,4.0,9.0,1,A,F,V,B,S,S,H,H
10170,5100000,5532222.222,10,3.5,7.0,9.0,5.0,3,A,A,K,B,C,J,T,J
10171,5890000,6543157.895,2,2.5,1.0,3.0,8.0,3,A,F,K,B,S,Z,8,N
10172,3600000,4633333.333,3,1.8,5.0,0.0,2.0,2,A,A,V,B,C,T,M,B
10173,2074000,2655128.205,5,1.6,5.0,0.0,2.0,1,M,F,V,B,S,Z,9,4
10174,4677000,5425842.697,5,2.0,7.0,9.0,7.0,2,A,A,K,B,C,S,H,S
10175,1300000,1354320.988,15,1.8,5.0,6.0,7.0,1,M,F,V,B,S,W,V,W
10176,2546000,2810714.286,4,1.8,1.0,7.0,3.0,2,A,F,B,B,S,K,L,1
10177,3425000,4250000.0,9,2.2,0.0,6.0,3.0,1,M,A,K,D,C,J,T,M
10178,2794000,3242857.143,9,2.4,8.0,6.0,1.0,2,A,F,V,B,S,6,T,1
10179,2223000,3004054.054,14,3.0,0.0,2.0,7.0,2,A,F,K,B,S,J,T,H
10180,2209000,2526190.476,9,1.5,1.0,0.0,1.0,2,M,A,V,BG,L,J,F,1
10181,4354000,4383950.617,11,3.3,7.0,7.0,4.0,1,A,A,V,B,M,5,T,D
10182,2206000,2633333.333,14,3.0,1.0,9.0,6.0,2,A,F,K,B,S,4,T,1
10183,3437000,3713483.146,3,1.6,1.0,6.0,0.0,2,A,F,K,B,S,K,M,H
10184,1201000,1710975.61,14,1.8,3.0,0.0,3.0,1,A,F,V,B,L,V,F,1
10185,3400000,4109523.81,7,2.0,0.0,6.0,6.0,2,A,F,V,B,S,S,B,1
10186,4110000,4917582.418,1,1.6,2.0,5.0,7.0,1,A,F,K,B,S,K,N,A
10187,3149000,3742857.143,9,3.5,0.0,7.0,6.0,2,A,F,K,B,S,J,T,N
10188,2652000,3224390.244,10,2.4,3.0,8.0,8.0,1,M,F,V,B,S,J,T,N
10189,5767000,6070526.316,2,2.0,6.0,6.0,0.0,3,A,F,K,B,S,X,W,7
10190,4010000,4729761.905,6,2.4,7.0,8.0,7.0,2,A,F,K,B,S,J,T,N
10191,1400000,1467857.143,12,1.6,5.0,2.0,5.0,2,A,F,V,B,S,J,M,B
10192,1000000,2191666.667,13,3.5,5.0,3.0,8.0,2,A,F,K,B,S,J,N,1
10193,2287000,2782142.857,12,3.0,1.0,1.0,2.0,2,A,F,V,B,S,4,T,1
10194,2469000,3030769.231,14,2.0,7.0,9.0,5.0,1,A,A,V,B,C,J,T,E
10195,2757000,3330232.558,11,3.2,8.0,6.0,9.0,1,A,A,K,B,C,W,V,G
10196,3630000,3787804.878,2,1.4,7.0,0.0,7.0,1,A,F,V,B,L,T,M,B
10197,5029000,5562921.348,5,2.4,0.0,5.0,1.0,2,A,A,K,B,C,K,M,H
10198,3609000,4185714.286,6,2.5,4.0,4.0,2.0,2,A,A,K,B,S,Z,8,N
10199,6087000,7256976.744,10,4.0,5.0,7.0,4.0,1,A,A,K,B,V,J,T,E
10200,1810000,2015662.651,12,1.4,1.0,3.0,1.0,1,M,F,V,B,S,N,M,T
10201,2200000,2148809.524,13,1.8,6.0,4.0,8.0,2,M,F,V,B,L,J,T,D
10202,2610000,2702380.952,11,2.4,7.0,9.0,7.0,2,A,F,V,B,S,4,T,1
10203,3135000,3518888.889,1,1.6,3.0,2.0,8.0,3,A,F,V,B,S,Z,9,4
10204,4990000,5917241.379,4,2.5,9.0,9.0,7.0,1,A,F,V,B,S,4,T,1
10205,2270000,2635714.286,8,1.6,4.0,8.0,1.0,2,A,F,V,B,S,J,T,N
10206,5027000,5777906.977,9,3.5,9.0,5.0,9.0,1,A,F,K,B,C,2,T,2
10207,6000000,6292222.222,12,4.7,2.0,0.0,6.0,3,A,A,K,BG,V,J,T,E
10208,3390000,3719318.182,2,2.0,5.0,9.0,8.0,1,A,F,K,B,C,X,7,L
10209,2993000,3646341.463,9,2.5,1.0,7.0,0.0,1,A,A,V,B,U,J,F,1
10210,3015000,3428089.888,3,1.6,1.0,8.0,3.0,2,A,F,V,B,L,U,5,Y
10211,1603000,1664285.714,14,1.8,8.0,7.0,8.0,2,M,F,V,B,U,S,B,1
10212,5000000,5577906.977,9,3.5,8.0,9.0,1.0,1,A,F,K,B,M,5,T,D
10213,6413000,6769473.684,2,2.5,8.0,1.0,0.0,3,A,F,V,B,S,X,W,7
10214,1693000,1820987.654,15,2.2,4.0,8.0,6.0,1,A,F,V,B,S,4,T,1
10215,1100000,1147619.048,14,1.8,3.0,6.0,3.0,2,M,F,V,D,U,W,F,0
10216,2263000,2456410.256,9,1.3,6.0,9.0,7.0,1,A,F,V,B,S,J,T,D
10217,2210000,2416666.667,5,1.6,4.0,9.0,8.0,2,A,F,V,B,S,X,U,F
10218,2204000,2742857.143,15,2.0,2.0,9.0,7.0,2,A,A,K,B,C,J,T,E
10219,3371000,4022619.048,12,3.5,1.0,5.0,7.0,2,A,A,K,B,C,J,N,R
10220,3987000,4466279.07,12,3.3,8.0,7.0,4.0,1,A,A,K,B,C,J,T,J
10221,5000000,5554736.842,3,2.0,2.0,7.0,2.0,3,M,A,V,B,C,Z,8,N
10222,3197000,3690697.674,13,3.0,3.0,9.0,0.0,1,A,A,K,B,V,J,T,E
10223,1200000,1550000.0,9,1.4,1.0,7.0,0.0,1,M,F,V,B,S,K,L,1
10224,3924000,3916129.032,3,1.8,7.0,0.0,9.0,3,A,A,B,BG,C,K,L,1
10225,4742000,5836363.636,9,3.0,6.0,0.0,9.0,1,A,A,V,BG,V,J,M,Y
10226,2080000,2508791.209,17,3.0,7.0,4.0,0.0,1,A,A,K,B,C,J,T,6
10227,3203000,3313095.238,9,3.3,5.0,1.0,1.0,2,A,A,V,B,C,K,N,A
10228,1758000,2126190.476,3,1.6,5.0,2.0,8.0,2,A,F,V,B,L,X,7,L
10229,2200000,2946341.463,8,1.8,5.0,9.0,8.0,1,M,F,V,B,S,W,V,W
10230,3308000,3875000.0,5,2.0,5.0,1.0,1.0,2,A,F,K,G,S,K,M,H
10231,2859000,3448717.949,2,1.6,6.0,7.0,8.0,1,A,F,V,B,S,Z,9,4
10232,1993000,2494871.795,10,1.6,8.0,9.0,0.0,1,A,F,V,B,S,N,M,T
10233,1508000,1726190.476,9,1.4,3.0,1.0,9.0,2,A,F,V,B,L,K,M,H
10234,3861000,4168235.294,2,1.6,0.0,3.0,2.0,2,A,F,V,B,S,K,M,H
10235,2699000,3314102.564,9,2.3,4.0,6.0,2.0,1,A,F,V,B,C,J,M,3
10236,1082000,1407317.073,19,2.8,6.0,9.0,5.0,1,M,A,V,B,S,W,A,U
10237,1579000,2011538.462,15,2.5,8.0,2.0,6.0,1,A,A,V,B,U,J,F,1
10238,1698000,2314102.564,5,1.6,4.0,3.0,7.0,1,M,F,V,B,S,K,N,M
10239,2700000,3090697.674,14,3.2,5.0,1.0,6.0,1,A,A,K,B,C,W,V,G
10240,3528000,4056097.561,7,2.0,6.0,7.0,4.0,1,A,F,V,B,S,S,B,1
10241,3253000,3864102.564,1,1.6,5.0,2.0,2.0,1,A,F,V,B,L,Z,9,4
10242,2232000,2658974.359,15,3.2,2.0,1.0,3.0,1,A,A,K,B,C,W,D,C
10243,1758000,2118518.519,14,2.6,7.0,3.0,0.0,1,A,B,K,B,S,W,D,B
10244,1600000,1630952.381,5,1.6,1.0,9.0,2.0,2,M,F,V,B,S,X,U,U
10245,7100000,8275280.899,4,3.0,0.0,4.0,0.0,2,A,A,K,D,P,A,H,T
10246,3111000,3089743.59,2,1.6,6.0,4.0,7.0,1,M,F,V,B,U,K,L,1
10247,3105000,3948148.148,12,4.4,0.0,6.0,8.0,1,A,A,K,B,C,5,U,X
10248,2460000,2621348.315,9,2.0,7.0,4.0,4.0,2,A,F,K,B,S,W,V,W
10249,2538000,3494805.195,9,2.0,3.0,4.0,8.0,1,A,A,V,B,U,J,F,1
10250,4300000,4453424.658,6,2.4,3.0,3.0,4.0,1,A,F,V,B,C,5,J,6
10251,2976000,3135869.565,1,1.7,2.0,1.0,5.0,3,M,A,V,B,C,X,9,L
10252,1403000,1521176.471,11,2.0,0.0,7.0,8.0,2,A,F,V,B,L,V,F,3
10253,5895000,6945121.951,9,2.7,0.0,9.0,6.0,1,A,A,V,B,V,J,T,E
10254,5034000,5841463.415,4,2.4,4.0,6.0,3.0,1,A,A,V,B,C,J,M,B
10255,2161000,2621686.747,4,1.6,3.0,3.0,8.0,1,M,F,V,B,S,K,N,A
10256,2851000,2936956.522,4,1.6,9.0,5.0,8.0,3,A,F,V,BG,S,K,N,A
10257,3208000,3938461.538,9,3.6,5.0,0.0,1.0,1,A,A,K,BG,C,2,S,3
10258,1727000,2193589.744,5,1.4,2.0,0.0,6.0,1,A,F,V,B,L,K,L,1
10259,2000000,2432098.765,3,1.2,8.0,3.0,3.0,1,M,F,V,B,L,T,M,B
10260,2712000,3444155.844,10,2.5,6.0,5.0,3.0,1,A,A,V,B,U,J,F,1
10261,5530000,6529885.057,2,2.0,0.0,5.0,5.0,1,A,F,V,B,S,X,W,7
10262,2704000,3162962.963,10,2.4,3.0,2.0,5.0,2,A,F,V,B,S,4,T,1
10263,4058000,4367901.235,9,2.0,6.0,2.0,7.0,2,A,A,V,BG,C,J,T,M
10264,3500000,3788888.889,4,1.6,1.0,8.0,8.0,3,A,F,V,B,C,S,J,N
10265,3190000,3376190.476,1,1.6,4.0,2.0,7.0,2,A,F,V,B,S,Z,9,4
10266,2848000,3234523.81,9,2.4,5.0,2.0,3.0,2,A,F,V,BG,S,6,T,1
10267,3867000,4414285.714,10,2.4,2.0,3.0,7.0,2,A,F,V,B,M,J,T,E
10268,3343000,3852631.579,2,1.6,9.0,6.0,8.0,3,A,F,V,BG,S,K,N,A
10269,3102000,3670512.821,5,1.6,6.0,7.0,4.0,1,A,F,V,G,S,K,M,H
10270,2233000,2393975.904,4,1.6,0.0,9.0,3.0,1,M,F,V,B,L,Z,9,4
10271,5258000,5492708.333,3,2.0,7.0,2.0,1.0,3,A,F,V,B,S,X,W,7
10272,3748000,4582142.857,9,3.2,3.0,5.0,4.0,2,A,A,K,B,C,S,A,L
10273,4680000,4798901.099,4,2.0,1.0,0.0,4.0,3,A,A,V,B,C,S,J,N
10274,3969000,4255952.381,3,1.6,9.0,7.0,3.0,2,A,F,V,B,C,S,J,N
10275,2619000,3086419.753,3,1.6,1.0,5.0,1.0,2,A,F,V,B,S,Z,9,4
10276,1704000,1864197.531,9,1.8,9.0,6.0,7.0,1,A,F,B,B,S,W,0,L
10277,3846000,4063095.238,8,3.5,8.0,5.0,6.0,2,A,F,K,BG,S,J,T,N
10278,3928000,4418987.342,10,3.3,1.0,0.0,1.0,2,A,F,K,H,V,J,T,E
10279,2064000,2018888.889,10,1.6,0.0,5.0,7.0,3,A,F,V,B,L,W,V,W
10280,2461000,3207142.857,10,2.4,4.0,1.0,0.0,2,A,F,K,BG,S,6,T,1
10281,4455000,5331645.57,9,3.0,1.0,3.0,0.0,2,A,A,K,B,V,J,M,Y
